product_name,GTIN,product_catagory,ingredients,allergen_information,serving_size,calories_per_serving,total_fat,saturated_fat,trans_fat,cholesterol,sodium,total_carbohydrates,dietary_fiber,sugars,protein,vitamins,minerals
Britannia Nutrichoice Digestive Zero High Fibre Biscuits,8901063142695,biscuits,"Wheat Flour (Atta) $$ Refined Palm Oil $$ Sweeteners [965(i) & (ii) and 955] $$ Wheat Bran (5.4%) $$ Raising Agents (503(ii) & 500(ii)] $$ Maltodextrin $$ Milk Solids $$ Iodised Salt $$ Emulsifiers [322(i), 471 & 472e] $$ Malt Extract $$ Nature Identical & Artificial (Milk) Flavouring Substances $$ Antioxidant (307c) $$ Dough Conditioner (223) $$ and Spice","Wheat Milk Soy Barley Sulphite",Serving Size (Approx. 17 g [approx. 2 Biscuits]),479 kcal,21 g,10.2 g,0 g,0 mg,396 mg,68.4 g,0 g,0.5 g,8.6 g,
Britannia Marie Gold Biscuit,8901063162532,biscuits,Refined Wheat Flour (Maida) (73%) $$ Sugar $$ Refined Palm Oil $$ Invert Sugar Syrup $$ Milk Solids $$ Raising Agents [503(ii) & 500 (ii)] $$ Iodised Salt $$ Emulsifier (472e) $$ Calcium Salt $$ Dough Conditioner (223) $$ Vitamins $$ Ferrous Salt $$ Potassium Iodate,Wheat Milk Sulphite,Serving Size (Per 100g),445,26,13,0,0,0,60,0,10,7,0,0
Parle Gluco Biscuits - Parle-G,8901719125478,biscuits,Refined Wheat Flour (Maida) (68%) $$ Sugar $$ Refined Palm Oil $$ Invert Sugar Syrup [Sugar Citric Acid) $$ Iodised Salt $$ Raising Agents [503 (ii) 500 (ii)] $$ Milk Solids $$ Flour Treatment Agent [1101 (ii)] $$ and Emulsifier of Vegetable Origin [472e] $$ Contains Added Flavour (Artificial Flavouring Substances - Vanilla) $$ (# D - Glucose Levulose),Wheat Milk,Serving Size: 15 g PER SERVE,454.0,13.0,6.0,0,0,296,77.3,0,25.5
Britannia Milk Bikis Milk Biscuits,890163012530,biscuits,Refined Wheat Flour (Maida) (63%) $$ Sugar $$ Refined Palm Oil $$ Milk Products (4%) (Sweetened Condensed Partly Skimmed Milk & Milk Solids) $$ Invert Sugar Syrup $$ Raising Agents [503(ii) & 500(ii)] $$ Iodised Salt $$ Emulsifiers [322(i) & 471] $$ Minerals $$ Artificial [Milk & Vanilla) & & Nature Identical Flavouring Substances and Vitamins,Wheat Milk Soya,Serving Size: 13g (approx. 2 Biscuits),459kcal,13.5,6.6,0,0,298,77.1,0,26.2,7.4
Sunfeast Dark Fantasy Choco Fills Biscuits,8909810028961,biscuits,SUGAR$REFINED PALMOLEIN REFINED PALMOIL COCOA SOLIDS EMULSIFIER (LECITHIN(FROMSOYABEAN))NATURE IDENTICAL FLAVOURING SUBSTANCES (CHOCOLATE) ARTIFICIAL FLAVOURING SUBSTANCES(VANILLA)MAIDA(REFINEDWHEATFLOUR) HYDROGENATED VEGETABLE OIL SUGAR INVERT SYRUP LIQUID GLUCOSE RAISING AGENTS(INS503(ii) INS500(ii) INS450(i))COCOA SOLIDS (0.7 BUTTER MILK SOLIDS IODIZED SALT NATURE IDENTICAL FLAVOURING SUBSTANCES (MILK CHOCOLATE) COLOURS (INS150c INS150d)$EMULSIFIERS (LECITHIN (FROM SOYABEAN) MONO AND DIGLYCERIDES OF FATTY ACIDS (FROM PALM OIL))$ARTIFICIAL FLAVOURING SUBSTANCES (MILK VANILLA),Wheat Milk Soy Nuts Sulphite,12.5,63,3.4,1.6,0.01,0.04,22.7,7.6,0,4.5,0.9
Cadbury Oreo Vanilla Flavour Creme Sandwich Biscuit,762201756697,biscuits,REFINED WHEAT FLOUR (MAIDA)$SUGARFRACTIONATEDFATPALMOLEININVERTSUGARCOCOASOLIDS(2LEAVENINGAGENTS(500(ii) 503(ii))STARCHIODISEDSALT EMULSIFIER(322)$NATURE IDENTICAL FLAVOURING SUBSTANCES,Wheat Sulphite Soy Milk Barley,17,483,19.6,9.7,0.1,0,420,71.9,NA,38.8,5.2
Britannia Good Day Cashew Cookies,8901063093522,biscuits,REFINED WHEAT FLOUR (MAIDA) SUGAR FRACTIONATED FAT PALMOLEIN INVERT SUGAR COCOA SOLIDS (2%) LEAVENING AGENTS (500(ii) 503(ii)) STARCH IODISED SALT EMULSIFIER (322) NATURE IDENTICAL FLAVOURING SUBSTANCES,Wheat Nuts,15,41,23.4,11.5,0,3.2,231,67.7,0,21.9,6.6
Kissan Mixed Fruit Jam,8901030897689,spreads,SUGAR MIXED FRUIT PULP BLEND - 46% (PAPAYA PULP PEAR PULP BANANA PULP APPLE JUICE PINEAPPLE JUICE ORANGE JUICE MANGO PULP GRAPE JUICE) ACIDITY REGULATOR 1 - E330 THICKENER - E440 VITAMINS & MINERALS PRESERVATIVE - E202 ARTIFICIAL RASPBERRY PINEAPPLE AND STRAWBERRY FLAVOURING SUBSTANCES FOOD COLOUR - E122,Fruit,15,285,0.1,0,0,0,12,70.8,0.7,68.9,0.3
Frooti Fresh 'N' Juicy Mango Drink,8902579103415,beverages,WATER SUGAR MANGO PULP (11.2%) ACIDITY REGULATORS [INS 330 INS 331(iii)] NATURE - IDENTICAL FLAVOURING SUBSTANCES (MANGO) STABILIZERS (INS 466 INS 415) PRESERVATIVE (INS 211) ANTIOXIDANT (INS 300) FOOD COLOUR (INS 110) AND ANTIFOAMING AGENT (INS 900a) (INS-INTERNATIONAL NUMBERING SYSTEM),Fruit,100,62.9,0,0,0,0,25.4,15.7,0,15.6,0
MAGGI 2-Minute Instant Noodles,8901058000290,instant food,Refined wheat flour (Maida) Palm oil lodized salt Wheat gluten Thickeners (508 & 412) Acidity regulators (501(i) & 500(i)) and Humectant (451(i)) 1 Mixed spices (25.6%) (Onion powder Coriander powder Turmeric powder Red chilli powder Garlic powder Cumin powder Aniseed powder Ginger powder Fenugreek powder Black pepper powder Clove powder Green cardamom powder & Nutmeg powder) Refined wheat flour (Maida) Hydrolysed groundnut protein Sugar Palm 2 oil Starch lodized salt Thickener (508) Flavour enhancer (635) Toasted onion flakes Acidity regulator (330) Colour (150d) Mineral and Wheat gluten,Milk Mustard Oats Nuts Soy,70,269,8.8,5.7,0.09,0,719.8,41.7,0,13,57
Sugar Watchers Low GI Noodles,8908011357118,instant food,Little millet flour cluster bean powder salt edible calcium,,100,384.50,0.46,0,0,0,0,83.40,0.72,0,10.50,
Coca Cola Diet Coke Soft Drink,8901764061257,beverages,Carbonated water Acidity regulators (338 331(iii)) Sweeteners (951 950) Preservative (211) Caffeine (10 mg/100 g) Colour (150d) Flavours (Natural flavoring substances),Caffeine,200,0,0,0,0,0,8.3,0,0,0,0,
Coca Cola Original Taste Soft Drink,8901764011252,beverages,Carbonated water Sugar Acidity Regulator (338) Caffeine (8.7 mg/100g) Colour (150d) Flavours (Natural Flavoring substances),Caffine,200,44,0,0,0,0,11,0,0,0,0
